Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Glutamatergic synapse	40/114	6.013858e-18	1.515492e-15	0	0	7.131971e+00	2.828002e+02	GRIA1;GRIA2;SLC1A2;GRIK3;SLC1A3;ITPR2;GRIK4;CACNA1D;GRIK1;ADCY2;GRIK2;PLD1;ADCY8;GRM1;GLS;GRM3;PPP3CA;GRIN2A;GRM5;GNG2;GRM7;GNG4;GRM8;DLGAP1;SLC17A7;GLUL;GRIA3;GRIA4;KCNJ3;HOMER1;PRKCB;PRKCA;GRIN2B;GNAO1;GRIN3A;PLCB4;GNAQ;GNAS;GNB4;PLCB1
KEGG_2019_Human	Circadian entrainment	32/97	8.949482e-14	9.279449e-12	0	0	6.461844e+00	1.941435e+02	GRIA1;RYR1;GRIA2;RYR2;CAMK2D;CAMK2A;CACNA1D;ADCY2;ADCY8;RYR3;GRIN2A;RPS6KA5;GNG2;GNG4;PRKG2;NOS1;CAMK2G;GRIA3;PRKG1;GRIA4;KCNJ3;GUCY1A2;PRKCB;PRKCA;GRIN2B;GNAO1;PLCB4;GNAQ;NOS1AP;GNAS;GNB4;PLCB1
KEGG_2019_Human	Axon guidance	45/181	1.104696e-13	9.279449e-12	0	0	4.366652e+00	1.302748e+02	SEMA5A;ROBO2;SEMA5B;NRP1;ROBO3;CAMK2D;SEMA3C;ROCK2;SEMA3D;SEMA3A;CAMK2A;SEMA3E;EFNA5;ROBO1;PPP3CA;ABLIM1;ABLIM3;SLIT3;SRGAP3;SLIT2;SRGAP2;LRRC4C;SRGAP1;CAMK2G;PLXNA4;EPHA5;NTNG1;EPHA4;NTNG2;TRPC5;EPHA6;TRPC6;TRPC3;UNC5B;TRPC4;DCC;SEMA6D;PRKCA;UNC5C;UNC5D;PTK2;PARD3;BMPR1B;NGEF;EPHA3
KEGG_2019_Human	Calcium signaling pathway	45/188	4.731948e-13	2.981127e-11	0	0	4.151321e+00	1.178115e+02	CHRM2;RYR1;CHRM3;RYR2;CAMK2D;PDE1C;CHRNA7;PDE1A;CAMK2A;CACNA1B;ITPR2;HTR2C;CACNA1D;ADCY2;HTR2A;ADRA1B;ADCY8;CACNA1E;ADRA1A;SLC8A1;RYR3;GRM1;EGFR;MYLK;PPP3CA;GRIN2A;GRM5;ERBB4;PLCE1;PTK2B;NOS1;CAMK2G;PDGFRA;CAMK1D;PRKCB;ATP2B4;PRKCA;TACR1;ATP2B1;P2RX7;GNAL;PLCB4;GNAQ;GNAS;PLCB1
KEGG_2019_Human	Long-term depression	22/60	6.235503e-11	3.142694e-09	0	0	7.556508e+00	1.775642e+02	RYR1;GRIA1;LYN;GUCY1A2;GRIA2;GRID2;MAP2K1;PRKCB;ITPR2;PRKCA;IGF1;GRM1;GNAO1;PLCB4;GNAQ;CRH;GNAS;PRKG2;NOS1;PLCB1;PRKG1;GRIA3
KEGG_2019_Human	Neuroactive ligand-receptor interaction	58/338	5.132735e-10	2.155749e-08	0	0	2.737791e+00	5.856192e+01	NPFFR2;GABRB3;CHRM2;GABRB2;CHRM3;GABRB1;VIPR2;THRB;NPY2R;GRIK3;GRIK4;HTR2C;GRIK1;GRIK2;HTR2A;ADRA1B;RXFP1;ADRA1A;GRM1;GHR;GRM3;GRM5;GRM7;GRM8;GRID2;NPY1R;TACR1;GABRG3;PARD3;CRH;GRIA1;GRIA2;CHRNA2;CALCRL;CHRNA7;LPAR1;MCHR2;GRIN2A;GLRA2;GLRA3;CNR1;NPY;TAC3;TAC1;GRIA3;GRIA4;GABBR2;GABRA5;HTR1F;P2RY14;CCK;GRIN2B;HCRTR2;P2RX7;GRIN3A;LPAR6;SST;VIP
KEGG_2019_Human	Morphine addiction	26/91	6.693055e-10	2.409500e-08	0	0	5.227986e+00	1.104401e+02	GABRB3;GABRB2;GABRB1;PDE1C;PDE1A;PDE3B;CACNA1B;ADCY2;ADCY8;GNG2;GNG4;PDE4B;PDE8B;PDE8A;KCNJ3;GABBR2;PRKCB;GABRA5;PDE4D;PRKCA;GABRG3;GNAO1;PDE10A;PDE3A;GNAS;GNB4
KEGG_2019_Human	Insulin secretion	25/86	9.516619e-10	2.997735e-08	0	0	5.353918e+00	1.112159e+02	SNAP25;CHRM3;RYR2;CAMK2D;CAMK2A;ATP1A2;ADCY2;CACNA1D;ADCY8;PCLO;KCNMB2;KCNMB4;KCNN2;CAMK2G;PRKCB;PRKCA;CCK;ATP1B1;PLCB4;GNAQ;KCNMA1;GNAS;PLCB1;STX1A;CREB5
KEGG_2019_Human	cAMP signaling pathway	42/212	1.613592e-09	4.518057e-08	0	0	3.247437e+00	6.574373e+01	CHRM2;GRIA1;RYR2;GRIA2;CAMK2D;VIPR2;ROCK2;HHIP;PDE3B;CAMK2A;ADCY2;CACNA1D;ATP1A2;ADCY8;PLD1;GLI3;GRIN2A;NPY;PDE4B;PLCE1;CAMK2G;GRIA3;GRIA4;VAV3;GABBR2;MAP2K1;HTR1F;PDE4D;NPY1R;ATP2B4;ATP2B1;ATP1B1;GRIN2B;MAPK10;TIAM1;GRIN3A;PDE10A;SST;PDE3A;GNAS;VIP;CREB5
KEGG_2019_Human	Gap junction	24/88	8.370413e-09	2.109344e-07	0	0	4.894584e+00	9.103222e+01	PDGFRA;GUCY1A2;MAP2K1;PRKCB;LPAR1;HTR2C;ITPR2;PRKCA;ADCY2;HTR2A;ADCY8;GRM1;EGFR;GRM5;GJA1;TUBA1B;PLCB4;PDGFD;GNAQ;PDGFC;GNAS;PRKG2;PLCB1;PRKG1
KEGG_2019_Human	Dopaminergic synapse	30/131	1.087232e-08	2.490749e-07	0	0	3.885595e+00	7.125033e+01	GRIA1;GRIA2;CAMK2D;CAMK2A;CACNA1B;ITPR2;CACNA1D;PPP3CA;GRIN2A;GNG2;GNG4;CAMK2G;GRIA3;SCN1A;GRIA4;KCNJ3;PRKCB;PRKCA;GRIN2B;GNAO1;MAPK10;GNAL;PLCB4;CALY;PPP2R2B;GNAQ;GNAS;GNB4;PLCB1;CREB5
KEGG_2019_Human	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	21/72	1.940651e-08	4.075368e-07	0	0	5.366860e+00	9.530286e+01	RYR2;LAMA2;CACNA2D1;ITGA1;LEF1;CACNA2D3;CACNA1D;SLC8A1;CACNB2;GJA1;SGCD;CDH2;ITGA11;ITGA8;PKP2;ITGB8;ITGA7;DMD;CTNNA3;CTNNA2;ITGA9
KEGG_2019_Human	Nicotine addiction	15/40	4.898944e-08	9.496415e-07	0	0	7.798317e+00	1.312586e+02	GABRB3;GRIA1;GRIA2;GABRB2;GABRB1;GABRA5;CHRNA7;CACNA1B;GABRG3;GRIN2B;GRIN2A;GRIN3A;SLC17A7;GRIA3;GRIA4
KEGG_2019_Human	Salivary secretion	23/90	6.437814e-08	1.158806e-06	0	0	4.476728e+00	7.412786e+01	CHRM3;GUCY1A2;PRKCB;ATP2B4;ITPR2;PRKCA;ATP1A2;ADCY2;ATP2B1;ADRA1B;ATP1B1;ADCY8;ADRA1A;RYR3;CST3;PLCB4;GNAQ;KCNMA1;GNAS;PRKG2;NOS1;PLCB1;PRKG1
KEGG_2019_Human	Rap1 signaling pathway	38/206	7.053718e-08	1.185025e-06	0	0	2.964982e+00	4.882472e+01	CSF1R;DOCK4;LPAR1;ADCY2;ADCY8;EFNA5;EGFR;GRIN2A;SIPA1L1;CNR1;PDGFD;PDGFC;PLCE1;MAGI1;PDGFRA;MAP2K1;ANGPT1;PRKCB;MAGI3;MAGI2;PRKCA;IGF1;GRIN2B;APBB1IP;GNAO1;TIAM1;PLCB4;PARD3;GNAQ;KIT;GNAS;RAPGEF2;PRKD1;RAPGEF5;PLCB1;FGFR3;FGFR2;FGFR1
KEGG_2019_Human	Cholinergic synapse	26/112	7.612716e-08	1.199003e-06	0	0	3.946898e+00	6.469305e+01	CHRM2;CHRM3;CAMK2D;CHRNA7;CAMK2A;CACNA1B;ITPR2;CACNA1D;ADCY2;ADCY8;GNG2;GNG4;CAMK2G;KCNJ3;MAP2K1;PRKCB;PRKCA;GNAO1;PLCB4;GNAQ;KCNQ3;GNB4;BCL2;KCNQ5;PLCB1;CREB5
